Project Name,Status,Message,Log File,
SBT_Workflow,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\SBT_Workflow.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\SBT_Workflow.log,
libBT7_Extensions,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\libBT7_Extensions.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\libBT7_Extensions.log,
SBT_Workflow,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\SBT_Workflow.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\SBT_Workflow.log,
libBT7_Extensions,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\libBT7_Extensions.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\libBT7_Extensions.log,
SBT_Workflow,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\SBT_Workflow.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\SBT_Workflow.log,
libBT7_Extensions,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\libBT7_Extensions.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\libBT7_Extensions.log,
SBT_Workflow,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\SBT_Workflow.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\SBT_Workflow.log,
libBT7_Extensions,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\libBT7_Extensions.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\libBT7_Extensions.log,
SBT_Workflow,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\SBT_Workflow.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\SBT_Workflow.log,
libBT7_Extensions,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\libBT7_Extensions.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\libBT7_Extensions.log,
SBT_Workflow,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\SBT_Workflow.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\SBT_Workflow.log,
libBT7_Extensions,Success,DLL-Location:D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\libBT7_Extensions.dll,D:\tmp\git\tom_repo\R1.4.2_2017-09-11\Binaries\bin\logs\libBT7_Extensions.log,
